CustomerID,InvoiceDate_max,AnalyzeDate,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,RFMValue,CustomerLevel
12347,2011-09-06,2025-05-21,5006,106,2540.290000000001,3,1,1,311,5,Low
12348,2011-05-04,2025-05-21,5131,5,367.0,1,4,3,143,8,Middle
12350,2011-02-02,2025-05-21,5222,17,334.4000000000001,1,3,3,133,7,Middle
12352,2011-03-11,2025-05-21,5185,23,1296.3800000000006,1,3,1,131,5,Low
12355,2011-09-05,2025-05-21,5007,13,459.4,3,4,3,343,10,Top
12356,2011-08-04,2025-05-21,5039,21,481.46,2,3,2,232,7,Middle
12357,2011-06-11,2025-05-21,5093,131,6207.669999999996,2,1,1,211,4,Low
12358,2011-12-07,2025-05-21,4914,19,1168.06,4,3,1,431,8,Middle
12359,2011-12-01,2025-05-21,4920,143,3495.7300000000014,4,1,1,411,6,Middle
12362,2011-11-10,2025-05-21,4941,110,2135.7899999999995,4,1,1,411,6,Middle
12363,2011-11-04,2025-05-21,4947,16,299.1,4,3,3,433,10,Top
12364,2011-02-12,2025-05-21,5212,27,310.31999999999994,1,3,3,133,7,Middle
12367,2011-05-12,2025-05-21,5123,11,168.9,2,4,4,244,10,Top
12370,2011-10-03,2025-05-21,4979,48,938.3900000000003,3,2,2,322,7,Middle
12371,2011-11-10,2025-05-21,4941,62,1527.9600000000007,4,2,1,421,7,Middle
12372,2011-11-05,2025-05-21,4946,19,515.7,4,3,2,432,9,Top
12373,2011-01-02,2025-05-21,5253,14,364.6,1,3,3,133,7,Middle
12375,2011-02-09,2025-05-21,5215,11,230.30000000000004,1,4,4,144,9,Top
12378,2011-02-08,2025-05-21,5216,219,4008.6200000000013,1,1,1,111,3,Low
12380,2011-07-06,2025-05-21,5068,36,607.5500000000002,2,2,2,222,6,Middle
12381,2011-12-10,2025-05-21,4911,87,1845.3100000000006,4,1,1,411,6,Middle
12383,2011-12-01,2025-05-21,4920,36,750.6099999999999,4,2,2,422,8,Middle
12384,2011-11-11,2025-05-21,4940,27,585.2700000000002,4,3,2,432,9,Top
12386,2011-06-01,2025-05-21,5103,10,401.9,2,4,3,243,9,Top
12388,2011-09-03,2025-05-21,5009,16,334.95,3,3,3,333,9,Top
12393,2011-11-01,2025-05-21,4950,36,884.1,4,2,2,422,8,Middle
12394,2011-07-10,2025-05-21,5064,27,1272.48,2,3,1,231,6,Middle
12395,2011-12-05,2025-05-21,4916,95,1762.63,4,1,1,411,6,Middle
12397,2011-04-11,2025-05-21,5154,56,1195.09,1,2,1,121,4,Low
12399,2011-12-08,2025-05-21,4913,39,820.6000000000001,4,2,2,422,8,Middle
12401,2011-09-02,2025-05-21,5010,5,84.3,3,4,4,344,11,Top
12406,2011-09-06,2025-05-21,5006,49,1621.25,3,2,1,321,6,Middle
12407,2011-06-07,2025-05-21,5097,33,719.0600000000002,2,2,2,222,6,Middle
12408,2011-07-11,2025-05-21,5063,40,1396.7799999999993,2,2,1,221,5,Low
12409,2011-10-06,2025-05-21,4976,64,6207.079999999999,3,1,1,311,5,Low
12410,2011-04-02,2025-05-21,5163,26,693.3299999999998,1,3,2,132,6,Middle
12413,2011-06-01,2025-05-21,5103,34,673.45,2,2,2,222,6,Middle
12414,2011-06-05,2025-05-21,5099,13,319.61,2,4,3,243,9,Top
12415,2011-10-01,2025-05-21,4981,227,44582.78999999997,3,1,1,311,5,Low
12417,2011-06-12,2025-05-21,5092,83,1572.4799999999993,2,1,1,211,4,Low
12420,2011-07-10,2025-05-21,5064,29,600.3900000000001,2,2,2,222,6,Middle
12422,2011-05-09,2025-05-21,5126,8,147.7,2,4,4,244,10,Top
12423,2011-09-12,2025-05-21,5000,40,548.9200000000002,3,2,2,322,7,Middle
12427,2011-10-10,2025-05-21,4972,25,586.0800000000003,3,3,2,332,8,Middle
12428,2011-11-08,2025-05-21,4943,259,6580.520000000001,4,1,1,411,6,Middle
12429,2010-09-12,2025-05-21,5365,20,1281.5000000000002,1,3,1,131,5,Low
12431,2011-12-08,2025-05-21,4913,98,3055.050000000001,4,1,1,411,6,Middle
12433,2011-09-12,2025-05-21,5000,294,9033.919999999991,3,1,1,311,5,Low
12436,2011-01-09,2025-05-21,5246,16,509.0100000000001,1,3,2,132,6,Middle
12437,2011-12-01,2025-05-21,4920,84,2040.8100000000013,4,1,1,411,6,Middle
12441,2010-08-12,2025-05-21,5396,11,173.55,1,4,4,144,9,Top
12442,2011-06-12,2025-05-21,5092,12,172.06,2,4,4,244,10,Top
12444,2011-12-10,2025-05-21,4911,32,1636.0800000000004,4,2,1,421,7,Middle
12447,2011-10-04,2025-05-21,4978,26,476.49,3,3,2,332,8,Middle
12449,2011-09-09,2025-05-21,5003,132,2724.580000000001,3,1,1,311,5,Low
12450,2011-06-07,2025-05-21,5097,2,96.0,2,4,4,244,10,Top
12451,2011-05-10,2025-05-21,5125,194,4927.869999999999,2,1,1,211,4,Low
12455,2011-06-07,2025-05-21,5097,29,477.46,2,2,2,222,6,Middle
12457,2011-04-10,2025-05-21,5155,1,196.35,1,4,4,144,9,Top
12461,2011-08-07,2025-05-21,5036,35,826.8800000000001,2,2,2,222,6,Middle
12462,2011-09-02,2025-05-21,5010,40,762.1099999999999,3,2,2,322,7,Middle
12463,2011-12-04,2025-05-21,4917,20,350.57,4,3,3,433,10,Top
12464,2011-03-02,2025-05-21,5194,6,213.9,1,4,4,144,9,Top
12468,2011-05-06,2025-05-21,5129,26,508.95,2,3,2,232,7,Middle
12471,2011-07-12,2025-05-21,5062,222,10309.969999999998,2,1,1,211,4,Low
12472,2011-07-11,2025-05-21,5063,80,1899.3800000000006,2,1,1,211,4,Low
12473,2011-10-11,2025-05-21,4971,39,1726.5100000000002,3,2,1,321,6,Middle
12474,2011-12-07,2025-05-21,4914,67,1179.64,4,1,1,411,6,Middle
12476,2011-05-05,2025-05-21,5130,3,311.2,1,4,3,143,8,Middle
12477,2011-11-02,2025-05-21,4949,76,3415.190000000002,4,1,1,411,6,Middle
12478,2011-06-12,2025-05-21,5092,36,680.9900000000002,2,2,2,222,6,Middle
12480,2011-11-11,2025-05-21,4940,82,1952.93,4,1,1,411,6,Middle
12481,2011-07-01,2025-05-21,5073,82,2070.23,2,1,1,211,4,Low
12483,2011-11-05,2025-05-21,4946,39,1185.4600000000005,4,2,1,421,7,Middle
12484,2011-07-11,2025-05-21,5063,162,2017.2400000000007,2,1,1,211,4,Low
12489,2011-07-01,2025-05-21,5073,15,334.92999999999995,2,3,3,233,8,Middle
12490,2011-09-05,2025-05-21,5007,107,2463.060000000001,3,1,1,311,5,Low
12491,2011-01-11,2025-05-21,5244,26,460.40000000000015,1,3,3,133,7,Middle
12492,2011-07-10,2025-05-21,5064,11,136.82,2,4,4,244,10,Top
12494,2011-01-07,2025-05-21,5248,13,210.82,1,4,4,144,9,Top
12500,2011-10-01,2025-05-21,4981,17,745.03,3,3,2,332,8,Middle
12501,2011-07-01,2025-05-21,5073,149,2169.3899999999994,2,1,1,211,4,Low
12502,2011-06-05,2025-05-21,5099,116,3021.070000000001,2,1,1,211,4,Low
12504,2011-09-11,2025-05-21,5001,6,449.4,3,4,3,343,10,Top
12507,2011-07-07,2025-05-21,5067,1,46.75,2,4,4,244,10,Top
12508,2011-10-11,2025-05-21,4971,52,275.19,3,2,3,323,8,Middle
12512,2011-04-10,2025-05-21,5155,34,138.03000000000006,1,2,4,124,7,Middle
12516,2011-12-06,2025-05-21,4915,13,583.2,4,4,2,442,10,Top
12517,2011-11-11,2025-05-21,4940,261,2085.6399999999994,4,1,1,411,6,Middle
12518,2011-12-10,2025-05-21,4911,73,1207.1599999999996,4,1,1,411,6,Middle
12519,2011-07-10,2025-05-21,5064,18,340.84,2,3,3,233,8,Middle
12520,2011-11-03,2025-05-21,4948,60,987.4200000000006,4,2,2,422,8,Middle
12523,2011-12-01,2025-05-21,4920,24,398.7,4,3,3,433,10,Top
12524,2011-10-01,2025-05-21,4981,96,2962.599999999999,3,1,1,311,5,Low
12526,2011-09-12,2025-05-21,5000,42,797.3799999999997,3,2,2,322,7,Middle
12528,2011-08-03,2025-05-21,5040,28,552.6399999999999,2,3,2,232,7,Middle
12530,2011-11-10,2025-05-21,4941,52,1244.6799999999996,4,2,1,421,7,Middle
12532,2011-09-11,2025-05-21,5001,16,349.83,3,3,3,333,9,Top
12534,2011-01-08,2025-05-21,5247,63,1089.18,1,2,1,121,4,Low
12535,2011-09-09,2025-05-21,5003,34,716.3500000000001,3,2,2,322,7,Middle
12536,2011-11-10,2025-05-21,4941,259,4279.710000000005,4,1,1,411,6,Middle
12538,2011-10-11,2025-05-21,4971,21,363.95,3,3,3,333,9,Top
12539,2011-10-01,2025-05-21,4981,93,1715.8500000000006,3,1,1,311,5,Low
12540,2011-11-01,2025-05-21,4950,201,5047.379999999997,4,1,1,411,6,Middle
12541,2011-10-11,2025-05-21,4971,41,757.44,3,2,2,322,7,Middle
12544,2011-03-11,2025-05-21,5185,19,372.7,1,3,3,133,7,Middle
12547,2011-04-03,2025-05-21,5162,6,159.4,1,4,4,144,9,Top
12552,2011-01-11,2025-05-21,5244,1,120.0,1,4,4,144,9,Top
12553,2011-12-10,2025-05-21,4911,65,1356.5699999999995,4,1,1,411,6,Middle
12556,2011-11-07,2025-05-21,4944,67,312.8999999999998,4,1,3,413,8,Middle
12557,2011-11-01,2025-05-21,4950,24,8183.46,4,3,1,431,8,Middle
12558,2011-02-12,2025-05-21,5212,11,269.96000000000004,1,4,3,143,8,Middle
12559,2011-02-02,2025-05-21,5222,1,75.60000000000002,1,4,4,144,9,Top
12560,2011-04-12,2025-05-21,5153,28,697.7,1,3,2,132,6,Middle
12561,2011-10-02,2025-05-21,4980,16,238.85,3,3,4,334,10,Top
12562,2011-05-08,2025-05-21,5127,51,1304.37,2,2,1,221,5,Low
12567,2011-08-06,2025-05-21,5037,230,4643.609999999997,2,1,1,211,4,Low
12569,2011-12-10,2025-05-21,4911,112,2534.9499999999994,4,1,1,411,6,Middle
12571,2011-10-08,2025-05-21,4974,14,248.35,3,3,3,333,9,Top
12572,2011-01-12,2025-05-21,5243,24,487.68000000000006,1,3,2,132,6,Middle
12576,2011-08-02,2025-05-21,5041,72,1076.6300000000003,2,1,1,211,4,Low
12577,2011-04-11,2025-05-21,5154,80,461.9099999999999,1,1,3,113,5,Low
12580,2011-07-04,2025-05-21,5070,24,415.7,2,3,3,233,8,Middle
12583,2011-12-10,2025-05-21,4911,152,5093.27,4,1,1,411,6,Middle
12584,2011-07-06,2025-05-21,5068,36,835.9400000000003,2,2,2,222,6,Middle
12587,2011-02-12,2025-05-21,5212,4,144.0,1,4,4,144,9,Top
12589,2011-11-11,2025-05-21,4940,25,515.18,4,3,2,432,9,Top
12590,2011-12-05,2025-05-21,4916,68,9864.260000000004,4,1,1,411,6,Middle
12592,2011-10-05,2025-05-21,4977,18,437.6,3,3,3,333,9,Top
12593,2011-05-05,2025-05-21,5130,16,321.8,1,3,3,133,7,Middle
12594,2011-10-08,2025-05-21,4974,24,850.8300000000003,3,3,2,332,8,Middle
12596,2011-11-04,2025-05-21,4947,15,269.95,4,3,3,433,10,Top
12597,2011-09-06,2025-05-21,5006,48,912.66,3,2,2,322,7,Middle
12598,2011-11-11,2025-05-21,4940,51,1200.3199999999995,4,2,1,421,7,Middle
12599,2011-11-07,2025-05-21,4944,39,636.3000000000002,4,2,2,422,8,Middle
12600,2011-11-11,2025-05-21,4940,19,884.0200000000002,4,3,2,432,9,Top
12601,2011-11-01,2025-05-21,4950,19,325.46,4,3,3,433,10,Top
12602,2011-12-10,2025-05-21,4911,12,153.12000000000003,4,4,4,444,12,Top
12607,2011-10-10,2025-05-21,4972,101,1579.51,3,1,1,311,5,Low
12609,2011-06-06,2025-05-21,5098,27,512.8,2,3,2,232,7,Middle
12610,2011-05-08,2025-05-21,5127,54,946.75,2,2,2,222,6,Middle
12614,2011-07-03,2025-05-21,5071,20,315.6,2,3,3,233,8,Middle
12615,2011-07-12,2025-05-21,5062,45,1079.7999999999997,2,2,1,221,5,Low
12616,2011-05-09,2025-05-21,5126,21,457.7,2,3,3,233,8,Middle
12617,2011-10-11,2025-05-21,4971,42,355.53000000000014,3,2,3,323,8,Middle
12619,2011-06-11,2025-05-21,5093,15,871.8399999999998,2,3,2,232,7,Middle
12621,2011-12-05,2025-05-21,4916,152,3424.84,4,1,1,411,6,Middle
12623,2011-08-03,2025-05-21,5040,18,305.1,2,3,3,233,8,Middle
12625,2011-12-05,2025-05-21,4916,33,967.2,4,2,2,422,8,Middle
12626,2011-06-10,2025-05-21,5094,106,2440.390000000001,2,1,1,211,4,Low
12627,2011-06-10,2025-05-21,5094,125,2441.140000000001,2,1,1,211,4,Low
12628,2011-06-11,2025-05-21,5093,41,786.4599999999997,2,2,2,222,6,Middle
12633,2011-12-10,2025-05-21,4911,29,434.43000000000006,4,2,3,423,9,Top
12635,2011-11-09,2025-05-21,4942,101,1689.18,4,1,1,411,6,Middle
12637,2011-09-09,2025-05-21,5003,243,3630.15,3,1,1,311,5,Low
12638,2011-06-11,2025-05-21,5093,39,671.69,2,2,2,222,6,Middle
12643,2011-11-01,2025-05-21,4950,22,3094.140000000001,4,3,1,431,8,Middle
12644,2011-02-08,2025-05-21,5216,31,477.91000000000014,1,2,2,122,5,Low
12645,2011-06-11,2025-05-21,5093,34,893.9200000000002,2,2,2,222,6,Middle
12646,2011-05-12,2025-05-21,5123,21,615.2799999999999,2,3,2,232,7,Middle
12647,2011-11-09,2025-05-21,4942,81,2260.07,4,1,1,411,6,Middle
12648,2011-08-07,2025-05-21,5036,21,318.05,2,3,3,233,8,Middle
12649,2011-11-05,2025-05-21,4946,17,375.0,4,3,3,433,10,Top
12650,2011-06-12,2025-05-21,5092,20,314.44,2,3,3,233,8,Middle
12651,2011-09-01,2025-05-21,5011,9,114.00000000000004,3,4,4,344,11,Top
12652,2011-12-01,2025-05-21,4920,48,919.9799999999997,4,2,2,422,8,Middle
12654,2011-02-11,2025-05-21,5213,11,171.23,1,4,4,144,9,Top
12659,2011-10-11,2025-05-21,4971,5,91.68,3,4,4,344,11,Top
12662,2011-09-12,2025-05-21,5000,97,1618.2099999999994,3,1,1,311,5,Low
12664,2011-12-10,2025-05-21,4911,13,2294.8,4,4,1,441,9,Top
12667,2011-12-10,2025-05-21,4911,33,620.13,4,2,2,422,8,Middle
12669,2011-12-07,2025-05-21,4914,32,1607.7299999999998,4,2,1,421,7,Middle
